,0
1005,-0.1
1006,0.111757524
1007,0.1
1008,0.1
1009,0.13175346
1010,0.1
1011,-0.1
1012,0.20498756
1013,0.1
1014,0.1
1015,0.1
1016,0.1
1017,0.18590012
1018,-0.1
1019,0.1
1020,-0.1
1021,0.1
1022,-0.17341465
1023,-0.1
1024,-0.1
1025,0.12494676
1026,-0.1
1027,-0.1370155
1028,-0.1
1029,0.17890297
1030,0.1
1031,-0.1
1032,0.1
1033,0.1
1034,0.1
1035,-0.1
1036,-0.1
1037,0.1740911
1038,-0.1
1039,0.1
1040,0.1
1041,-0.13542527
1042,0.1
1043,-0.1
1044,-0.12542692
1045,0.15037769
1046,-0.14926204
1047,0.1
1048,0.1
1049,0.1
1050,-0.10131397
1051,-0.1
1052,-0.1
1053,0.1
1054,0.1
1055,0.1014781
1056,-0.12596309
1057,-0.1
1058,-0.1
1059,-0.1
1060,0.12045676
1061,0.17329216
1062,0.1
1063,-0.1
1064,0.15897465
1065,0.113881215
1066,0.1
1067,-0.11302169
1068,0.1
1069,0.1
1070,-0.1
1071,-0.28713438
1072,0.1
1073,0.1
1074,-0.1
1075,0.1
1076,0.1
1077,0.1
1078,0.1
1079,0.10254582
1080,-0.1
1081,-0.1
1082,-0.1
1083,-0.1
1084,0.1
1085,0.1
1086,-0.17821516
1087,-0.1
1088,-0.1
1089,-0.15520157
1090,-0.1
1091,-0.1
1092,-0.1
1093,0.1
1094,-0.13266025
1095,0.1
1096,0.1
1097,0.1
1098,-0.10974805
1099,0.21139094
1100,-0.1
1101,0.1
1102,0.1
1103,-0.1
1104,-0.1
1105,0.1
1106,-0.1
1107,-0.11939116
1108,-0.1
1109,0.1
1110,0.1
1111,0.1
1112,0.15849324
1113,-0.18992467
1114,-0.1
1115,0.17982012
1116,0.1
1117,0.1
1118,-0.1
1119,0.1
1120,-0.1
1121,-0.1
1122,0.1
1123,0.1
1124,0.1
1125,-0.1641734
1126,0.1
1127,0.1
1128,0.1
1129,0.1
1130,0.1
1131,0.1
1132,-0.1
1133,0.1
1134,0.1
1135,-0.1
1136,-0.1
1137,0.14800464
1138,-0.1
1139,0.1
1140,-0.1
1141,-0.1
1142,0.1
1143,-0.1
1144,0.13057113
1145,0.1
1146,-0.1
1147,0.1
1148,-0.1
1149,0.1
1150,0.1
1151,-0.1
1152,-0.1
1153,0.1
1154,-0.10629566
1155,0.1
1156,0.1
1157,-0.1
1158,0.1
1159,-0.1
1160,-0.1228489
1161,0.1
1162,0.13029034
1163,0.1
1164,-0.1
1165,-0.1
1166,0.1
1167,0.112159505
1168,-0.1
1169,0.101377785
1170,-0.13374098
1171,0.1
1172,-0.1
1173,-0.1
1174,-0.22347611
1175,0.1
1176,0.13825572
1177,-0.1
1178,-0.1
1179,0.1
1180,-0.1
1181,-0.1
1182,-0.16348918
1183,-0.1
1184,0.1
1185,0.1
1186,0.13243327
1187,0.1
1188,-0.1
1189,0.1
1190,-0.1
1191,-0.1652103
1192,-0.1
1193,0.1
1194,-0.10515938
1195,0.1
1196,-0.1
1197,-0.1
1198,-0.1
1199,-0.108723626
1200,0.1
1201,-0.1
1202,0.11032308
1203,-0.1
1204,-0.1
1205,0.1
